,department,brand,count,min,max,mean
0,Bakery and tortillas,ALMADEN,3,23.0,33.5,26.5
1,Bakery and tortillas,AVELINA,1,55.5,55.5,55.5
2,Bakery and tortillas,AZUCENA,3,34.5,34.5,34.5
3,Bakery and tortillas,BELEN,3,62.9,62.9,62.9
4,Bakery and tortillas,BIMBO,31,25.0,59.0,43.45161290322581
5,Bakery and tortillas,BUTTER KRUST,3,41.0,56.0,47.0
6,Bakery and tortillas,CANADIAN BAGELS,3,78.0,88.5,83.83333333333333
7,Bakery and tortillas,CANYON BAKE,2,139.0,139.0,139.0
8,Bakery and tortillas,CARE SCENTS,4,20.0,24.0,21.0
9,Bakery and tortillas,CHARRAS,3,29.0,34.5,32.166666666666664
10,Bakery and tortillas,CHOCOLATE,1,41.0,41.0,41.0
11,Bakery and tortillas,CINCO FLORES,5,29.0,42.0,33.78
12,Bakery and tortillas,DAVES KILLER BR,5,139.0,143.0,139.8
13,Bakery and tortillas,DAVES KILLER BREAD,2,125.0,125.0,125.0
14,Bakery and tortillas,DECOR COOKIES,3,125.0,135.0,128.33333333333334
15,Bakery and tortillas,DEL BARRIO,3,19.0,29.0,22.333333333333332
16,Bakery and tortillas,DEL HOGAR,1,28.0,28.0,28.0
17,Bakery and tortillas,DELGADITAS,5,20.5,35.0,29.48
18,Bakery and tortillas,DELTA,4,29.0,42.0,32.25
19,Bakery and tortillas,DIATOSTA,2,49.0,49.0,49.0
20,Bakery and tortillas,DON CAYETANO,2,29.0,41.0,35.0
21,Bakery and tortillas,DON CHUY,1,58.0,58.0,58.0
22,Bakery and tortillas,DONT WORRY,7,91.0,91.0,91.0
23,Bakery and tortillas,EL PAPALOTE,1,34.5,34.5,34.5
24,Bakery and tortillas,EL REPULGO,4,80.0,89.0,82.25
25,Bakery and tortillas,EXQUISITAS,3,24.0,24.0,24.0
26,Bakery and tortillas,FIBRELAS,1,30.0,30.0,30.0
27,Bakery and tortillas,HAPPY MOMENTS,2,23.0,23.0,23.0
28,Bakery and tortillas,HCF,19,15.0,131.0,41.421052631578945
29,Bakery and tortillas,HEB,425,2.0,1038.0,87.12941176470588
30,Bakery and tortillas,HEB BAKERY,14,23.0,94.5,58.0
31,Bakery and tortillas,HEB ESSENTIAL GRAINS,7,40.0,56.5,49.07142857142857
32,Bakery and tortillas,HEB SABOR TRADI,4,35.9,43.0,39.975
33,Bakery and tortillas,INUSA,1,45.0,45.0,45.0
